type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity Strategic Fixed Interest Trust - Wholesale,AUS0009AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity High Growth Portfolio,AUS0022AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity Conservative Growth Portfolio,AUS0023AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Platypus Australian Equities Fund,AUS0030AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Discovery Investment Services Core Income Fund - Wholesale,AUS0031AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Wingate Global Equity Fund - Wholesale Units,AUS0035AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Platypus Systematic Growth Fund,AUS0036AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity Healthcare Property Trust - Class A Units,AUS0037AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Acorn Capital Asia Small Cap Fund,AUS0062AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Pro-D High Growth Fund,AUS0064AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Pro-D Balanced Fund,AUS0066AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Pro-D Growth Fund,AUS0068AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Altius Sustainable Bond Fund,AUS0071AU,,,,,,,,,,,,,,,,
SC,AUS,Australian Unity Funds Management Limited,Australian Unity Balanced Growth - W/sale,AUS0100AU,,,,,,,,,,,,,,,,
