type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Australian Fixed Interest Trust - Class A,LEF0041AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Australian Property Securities Trust,LEF0042AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Australian Share Trust - Class A,LEF0043AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Balanced Trust Class A Units,LEF0044AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Conservative Trust Class A Units,LEF0045AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Global Shares Trust - Class A,LEF0047AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wsale Global Smaller Companies Share Trust Class A,LEF0048AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Growth Trust Class A Units,LEF0049AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale High Growth Trust Class A Units,LEF0050AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,Optimix Wholesale Moderate Trust Class A Units,LEF0051AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OptiMix Wholesale Australian Fixed Interest Trust - Class B,LEF0104AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OptiMix Wholesale Growth Trust - Class B Units,LEF0106AU,,,,,,,,,,,,,,,,
SC,LSF,Life Settlements Funds Limited,Life Settlements Wholesale Fund,LFS0001AU,,,,,,,,,,,,,,,,
SC,CML,Colonial Mutual Life Assurance Society Limited,CFCL Investment Growth Bond - Capital Guaranteed Cash,LGL0202AU,,,,,,,,,,,,,,,,
SC,CML,Colonial Mutual Life Assurance Society Limited,CFCL Investment Growth Bond - Managed,LGL0206AU,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Jan,LHCA1000B,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Feb 2016,LHCA1000C,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Mar 2016,LHCA1000D,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Jun 2015,LHCA1000G,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Jul 2015,LHCA1000H,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Aug 2015,LHCA1000I,,,,,,,,,,,,,,,,
SC,LHC,LHC Capital Partners Pty Limited,LHC Capital Australia High Conviction Fund Series Master,LHCA1000Q,,,,,,,,,,,,,,,,
SC,TFM,Trilogy Funds Mgt Ltd (Calastone),LM Wholesale First Mortgage Income Fund - Flexi Account,LMI0007AU,,,,,,,,,,,,,,,,
SC,TFM,Trilogy Funds Mgt Ltd (Calastone),LM Wholesale First Mortgage Income Fund 12 Month Fixed Term,LMI0008AU,,,,,,,,,,,,,,,,
SC,LMI,LM Investment Management Ltd,LM Mortgage Income Fund - 24 Month Term,LMI0010AU,,,,,,,,,,,,,,,,
SC,LAT,La Trobe Financial Asset Management Ltd,La Trobe Pooled Mortgages - Platform Class,LTC0002AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Monthly Income Fund - Class D,MAL0012AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Monthly Income Fund (Class C Units),MAL0014AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock International Gold Fund - Class D,MAL0016AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Global Allocation Fund (Aust) - Class C,MAL0017AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Global Allocation (Aust) - Class D,MAL0018AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock International Gold Fund - Class C,MAL0019AU,,,,,,,,,,,,,,,,
SC,BAR,BlackRock Asset Mgt (Aus) Ltd (Swiftnet),BlackRock Global Allocation Fund (Aust) (Class S),MAL0029AU,,,,,,,,,,,,,,,,
SC,BAR,BlackRock Asset Mgt (Aus) Ltd (Swiftnet),BlackRock Australian Equity Opportunities Fund,MAL0072AU,,,,,,,,,,,,,,,,
SC,BAR,BlackRock Asset Mgt (Aus) Ltd (Swiftnet),BlackRock Australian Equity Absolute Return Fund,MAL0079AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Professional Investor Australian Share Fund,MAL0104AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Global Small Cap Fund,MAL0125AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Global High Conviction Fund - Unhedged (Class A),MAL0126AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Hedged Global Small Cap Fund - retail,MAL0127AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Global High Conviction Fund - Hedged,MAL0128AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Hedged Global Small Cap Fund - Class C,MAL0131AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Global Small Cap Fund - Class D,MAL0133AU,,,,,,,,,,,,,,,,
SC,MLI,BlackRock Investment Mgt (Aus) Ltd (Swiftnet),BlackRock Hedged Global Small Cap Fund - Class D- W/S,MAL0135AU,,,,,,,,,,,,,,,,
SC,MAN,Man Investments Australia Ltd (Calastone),Man AHL Alpha (AUD),MAN0002AU,,,,,,,,,,,,,,,,
SC,MAN,Man Investments Australia Ltd (Calastone),Man Diversified Alternatives Fund,MAN0004AU,,,,,,,,,,,,,,,,
SC,MAN,Man Investments Australia Ltd (Calastone),GLG Global Equity Fund (AUD),MAN0011AU,,,,,,,,,,,,,,,,
SC,MIA,MAN Invesment Australia Ltd,MAN Series 6 OM-IP 220 Limited,MAN0011CK,,,,,,,,,,,,,,,,
SC,MIA,MAN Invesment Australia Ltd,Series 8 OM-IP 220 Limited,MAN0013CK,,,,,,,,,,,,,,,,
SC,MIA,MAN Invesment Australia Ltd,Series 9 OM-IP 220 Limited,MAN0015CK,,,,,,,,,,,,,,,,
SC,MIA,MAN Invesment Australia Ltd,OM-IP 140 Plus (AUD) Limited,MAN0017CK,,,,,,,,,,,,,,,,
SC,MIA,MAN Invesment Australia Ltd,Man OM-IP Eclipse 2010,MAN0039CK,,,,,,,,,,,,,,,,
SC,MQI,Macquarie Life Ltd,Macquarie Active Australian Equities Trust,MAQ0003AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Emerging Markets Share Trust,MAQ0006AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Australian Enhanced Equities Fund,MAQ0046AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Balanced Growth Fund,MAQ0048AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Capital Stable Fund,MAQ0049AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Global Bond Fund,MAQ0050AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Property Securities Fund,MAQ0054AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Treasury Fund,MAQ0055AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Aust Enhanced Equities Fund,MAQ0057AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Balanced Fund,MAQ0058AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Capital Stable Fund,MAQ0059AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Term Cash Fund,MAQ0060AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Australian  Fixed Interest Fund,MAQ0061AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Property Securities Fund,MAQ0063AU,,,,,,,,,,,,,,,,
SC,MQI,Macquarie Life Ltd,Macquarie Life Fixed Interest Fund,MAQ0065AU,,,,,,,,,,,,,,,,
SC,MQI,Macquarie Life Ltd,Macquarie Life Cash Fund,MAQ0070AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Arrowstreet Global Equity Fund (Hedged),MAQ0079AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Leaders Imputation Trust (Retail),MAQ0083AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Small Companies Fund,MAQ0085AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Private Equity Multifund,MAQ0108AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Enhanced Fixed Interest Fund,MAQ0180AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Fixed Interest Plus Fund,MAQ0181AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Cash Fund,MAQ0187AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Australian Diversified Income (A) Fund,MAQ0204AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index Australian Fixed Interest Fund,MAQ0211AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index Listed Property Fund,MAQ0219AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Index Tracking Global Bond Fund,MAQ0266AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Master Geared Growth Fund,MAQ0271AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Diversified Private Equity Fund - PST,MAQ0273AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Diversified Fixed Interest Fund,MAQ0274AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Income Opportunities Fund,MAQ0277AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Australian Equities Fund,MAQ0278AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Diversified Private Equity Fund - 2003 Offer Accum,MAQ0282AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index Australian Shares Fund,MAQ0288AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,van Eyk Blueprint Balanced Fund,MAQ0290AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,van Eyk Blueprint Capital Stable Fund,MAQ0291AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,van Eyk Blueprint High Growth Fund,MAQ0292AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,van Eyk Blueprint International Shares Funds,MAQ0293AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Diversified Private Equity - 2004 Accumulation,MAQ0322AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Global Income Opportunities Fund,MAQ0324AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Global Infrastructure Trust II - A Class,MAQ0353AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Global Infrastructure Trust II - B Class,MAQ0356AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,IFP Global Franchise Fund,MAQ0404AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Walter Scott Global Equity Fund,MAQ0410AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Co-Investment Fund,MAQ0423AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Index-Linked Property Securities Fund,MAQ0431AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Int'national Infrastructure Securities Fund Hedged,MAQ0432AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Office Fund - Class Retail,MAQ0433AU,,,,,,,,,,,,,,,,
SC,PRC,Premium China Funds Mgt Pty Ltd (RE EQT) (Calastone),Premium China Fund,MAQ0441AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie High Conviction Fund,MAQ0443AU,,,,,,,,,,,,,,,,
SC,MQP,MQ Portfolio Management Limited,Macquarie Equinox Asia 2 Trust,MAQ0444AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Office Fund - Class Wholesale,MAQ0448AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Australian Small Companies Fund,MAQ0454AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index-Linked Australian Shares Fund,MAQ0455AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Arrowstreet Global Equity Fund,MAQ0464AU,,,,,,,,,,,,,,,,
SC,MPS,Macquarie Professional Series,Arrowstreet Emerging Markets Fund,MAQ0477AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Winton Global Alpha Fund,MAQ0482AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Morgan Stanley FX Alpha Plus Fund Class A,MAQ0555AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Morgan Stanley FX Alpha Plus Fund Class B,MAQ0556AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Walter Scott Global Equity Fund (Hedged),MAQ0557AU,,,,,,,,,,,,,,,,
SC,PRC,Premium China Funds Mgt Pty Ltd (RE EQT) (Calastone),Premium Asia Property Fund,MAQ0574AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Van Eyk Blueprint Global Emerging Markets Fund,MAQ0600AU,,,,,,,,,,,,,,,,
SC,MQP,MQ Portfolio Management Limited,Macquarie Asian Alpha Fund,MAQ0625AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,IFP Global Franchise Fund (Hedged),MAQ0631AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,van Eyk Blueprint Absolute Australian Shares Fund,MAQ0632AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index International Equities Fund,MAQ0633AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,van Eyk Blueprint Absolute International Shares Fund,MAQ0634AU,,,,,,,,,,,,,,,,
SC,PRC,Premium China Funds Mgt Pty Ltd (RE EQT) (Calastone),Premium Asia Fund,MAQ0635AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Asia New Stars No.1 Fund,MAQ0640AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Industrial Fund,MAQ0641AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Office Fund - Ordinary Units,MAQ0650AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Walter Scott Emerging Markets Fund,MAQ0651AU,,,,,,,,,,,,,,,,
SC,PRC,Premium China Funds Mgt Pty Ltd (RE EQT) (Calastone),Premium Asia Income Fund,MAQ0782AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall 144 Stirling Street Trust,MAQ0788AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index Cash Fund,MAQ0789AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Analytic Global Managed Volatility Fund,MAQ0796AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Industrial Fund No.2,MAQ0815AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Industrial Fund No. 2 - W/sale,MAQ0816AU,,,,,,,,,,,,,,,,
SC,MAR,Macquarie Financial Products Management Ltd,Macquarie Dividend Run-Up Fund,MAQ0820AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct WorkZone Trust,MAQ0823AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie International Infrastructure Securities - Unhedged,MAQ0825AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Hedged Index Global Infrastructure Securities Fund,MAQ0829AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie Hedged Index Global Real Estate Securities Fund,MAQ0830AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index Global Infrastructure Securities Fund,MAQ0831AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Macquarie True Index Global Real Estate Securities Fund,MAQ0832AU,,,,,,,,,,,,,,,,
SC,MAQ,Macquarie Investment Management Australia Limited,Polaris Global Equity Fund,MAQ0838AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Office Fund - Wholesale A,MAQ0842AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Industrial Fund 3 - Wholesale Class,MAQ0844AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Industrial Fund No.3 - Ordinary Units,MAQ0845AU,,,,,,,,,,,,,,,,
SC,MDP,Charter Hall Direct Property Mgt (Calastone),Charter Hall Direct Automotive Trust,MAQ0851AU,,,,,,,,,,,,,,,,
SC,MST,MST Capital Pty Ltd,MST Global Fund,MCP0001AU,,,,,,,,,,,,,,,,
SC,BMC,Bank Australia,Bank Australia High Yield Investment Account,MEC0001AU,,,,,,,,,,,,,,,,
SC,ARL,Asset Resolution Ltd,Asset Resolution Limited (ARL) - Fully Paid Ordinary Shares,MFS0009AR,,,,,,,,,,,,,,,,
SC,MFS,Wellington Investment Management Limited,Wholesale Premium Income Fund - Express,MFS0009AU,,,,,,,,,,,,,,,,
SC,MGE,Magellan Asset Mgt Ltd (Calastone),Magellan Global Fund,MGE0001AU,,,,,,,,,,,,,,,,
SC,MGE,Magellan Asset Mgt Ltd (Calastone),Magellan Infrastructure Fund,MGE0002AU,,,,,,,,,,,,,,,,
SC,MGE,Magellan Asset Mgt Ltd (Calastone),Magellan High Conviction Fund,MGE0005AU,,,,,,,,,,,,,,,,
SC,MGE,Magellan Asset Mgt Ltd (Calastone),Magellan Infrastructure Fund (Unhedged),MGE0006AU,,,,,,,,,,,,,,,,
SC,MGE,Magellan Asset Mgt Ltd (Calastone),Magellan Global Fund (Hedged),MGE0007AU,,,,,,,,,,,,,,,,
SC,MGL,Ironbark Asset Mgt (Fund Services) Ltd (Calastone),Ironbark Waverton Concentrated Global Share Fund,MGL0004AU,,,,,,,,,,,,,,,,
SC,EQI,Aberdeen Asset Mgt Ltd (Swiftnet),Aberdeen Income Fund,MGL0007AU,,,,,,,,,,,,,,,,
SC,MGL,Ironbark Asset Mgt (Fund Services) Ltd (Calastone),Ironbark Global (Ex-Australia) Property Securities Fund,MGL0010AU,,,,,,,,,,,,,,,,
SC,MGL,Ironbark Asset Mgt (Fund Services) Ltd (Calastone),Ironbark Global Property Securities Fund,MGL0011AU,,,,,,,,,,,,,,,,
SC,MGL,Ironbark Asset Mgt (Fund Services) Ltd (Calastone),Ironbark Waverton Concentrated Global Equity Fund,MGL0018AU,,,,,,,,,,,,,,,,
SC,MGL,Ironbark Asset Mgt (Fund Services) Ltd (Calastone),Ironbark Copper Rock Emerging Markets Opportunities,MGL0019AU,,,,,,,,,,,,,,,,
SC,EQI,Aberdeen Asset Mgt Ltd (Swiftnet),Aberdeen Australian Equities Fund,MGL0114AU,,,,,,,,,,,,,,,,
SC,BNM,MFS Investment Mgt (EQT) (Calastone),MFS Global Equity Trust,MIA0001AU,,,,,,,,,,,,,,,,
SC,MIC,Microequities Asset Management Pty Ltd,Microequities Deep Value Microcap Fund,MIC0001AU,,,,,,,,,,,,,,,,
SC,MIC,Microequities Asset Management Pty Ltd,Microequities High Income Value Microcap Fund,MIC0002AU,,,,,,,,,,,,,,,,
SC,MIC,Microequities Asset Management Pty Ltd,Microequities Global Value Microcap Fund,MIC0003AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Shares Fund,MIN0006AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Small Companies Fund,MIN0007AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Cash Fund,MIN0008AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Conservative Growth Fund - Wholesale,MIN0009AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Defensive Fund,MIN0010AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer High Growth Fund,MIN0012AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Growth Fund,MIN0013AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Moderate Growth Fund,MIN0014AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer International Shares Fund,MIN0015AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Hedged International Shares Fund,MIN0016AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Small Companies Shares Fund,MIN0017AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Diversified Shares Fund,MIN0019AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Shares Plus Fund,MIN0020AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Select Growth Fund,MIN0021AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Listed Property Fund,MIN0023AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer International Shares Plus Fund,MIN0024AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Diversified Alternatives Fund,MIN0026AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Income Plus Fund,MIN0027AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Sovereign Bond Fund,MIN0028AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Listed Property Fund,MIN0029AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Sovereign Bond Fund,MIN0030AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Inflation Plus Fund,MIN0031AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Credit Fund,MIN0032AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Listed Infrastructure Fund,MIN0033AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Natural Resources Fund,MIN0034AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Inflation Linked Bond Fund,MIN0035AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Emerging Markets Shares Fund,MIN0037AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Cash Fund - Term Deposit Units,MIN0046AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Emerging Markets Debt Fund,MIN0082AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Global Low Volatility Shares Fund,MIN0083AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Australian Shares Fund for Tax Exempt Investors,MIN0087AU,,,,,,,,,,,,,,,,
SC,MIN,Mercer Investments (Australia) Ltd (Calastone),Mercer Defensive Fund - PCP Units,MIN0090AU,,,,,,,,,,,,,,,,
SC,MLM,MLC Investment Limited - Masterkey,MLC MasterKey - Cash Fund - Retail,MLC0011AU,,,,,,,,,,,,,,,,
SC,MLM,MLC Investment Limited - Masterkey,MLC MasterKey - Property Securities Fund - Retail,MLC0013AU,,,,,,,,,,,,,,,,
SC,MLM,MLC Investment Limited - Masterkey,MLC MasterKey - Share Index Fund - Retail,MLC0014AU,,,,,,,,,,,,,,,,
SC,MLM,MLC Investment Limited - Masterkey,MLC MasterKey - Australian Share Fund - Retail,MLC0015AU,,,,,,,,,,,,,,,,
SC,MLM,MLC Investment Limited - Masterkey,MLC MasterKey - Global Share Fund - Retail,MLC0017AU,,,,,,,,,,,,,,,,
